,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_cosine_5_PCA_7,0.3484,0.788,0.0892,1.5,370.6
kmeans_cosine_7_PCA_10,0.3406,0.821,0.1487,2.0,262.8
kmeans_cosine_3_PCA_5,0.3384,0.7709,0.1157,2.3,364.4
kmeans_cosine_5_PCA_3,0.3309,0.8009,0.0943,2.5,370.0
spectral_7_PCA_768,0.3272,0.7391,0.1244,1.5,348.8
kmeans_cosine_4_PCA_7,0.3265,0.7876,0.0868,1.8,390.9
scibert_average_kmeans_7_PCA_7,0.1746,0.7074,0.0655,4.1,341.0
scibert_average_agglomerative_4_PCA_7,0.1698,0.6911,0.0613,2.7,325.3
scibert_average_kmeans_7_PCA_10,0.1674,0.7078,0.0653,3.0,336.1
scibert_average_agglomerative_7_PCA_10,0.1644,0.705,0.0654,4.5,334.0
scibert_average_kmeans_7_PCA_5,0.164,0.7099,0.0669,3.6,326.3
scibert_average_agglomerative_7_PCA_7,0.1614,0.7069,0.0652,4.1,338.5
scibert_average_agglomerative_5_PCA_7,0.1603,0.7051,0.0646,3.5,332.5
scibert_average_kmeans_7_isomap_3,0.1597,0.6983,0.0593,2.9,307.5
scibert_average_agglomerative_4_isomap_3,0.1586,0.6946,0.0587,3.4,298.1
scibert_average_kmeans_5_PCA_5,0.1573,0.7021,0.0622,4.3,329.1
scibert_average_agglomerative_5_PCA_5,0.1572,0.7054,0.0642,3.6,333.7
scibert_average_kmeans_7_PCA_3,0.1558,0.7006,0.0622,4.4,338.5
scibert_average_agglomerative_5_PCA_10,0.1556,0.7002,0.0623,4.1,329.6
scibert_average_agglomerative_7_PCA_5,0.1555,0.7032,0.0661,4.5,328.8
scibert_average_agglomerative_4_PCA_5,0.1554,0.6865,0.0602,3.3,323.5
scibert_average_agglomerative_4_PCA_10,0.1551,0.6939,0.0614,3.4,320.8
scibert_average_kmeans_5_PCA_10,0.1551,0.7012,0.062,4.1,329.0
scibert_average_agglomerative_4_isomap_5,0.1546,0.6936,0.059,6.2,291.6
scibert_average_kmeans_7_PCA_2,0.1543,0.7015,0.0627,4.4,331.6
scibert_average_kmeans_4_PCA_7,0.1542,0.6958,0.0616,3.9,326.4
scibert_average_kmeans_3_PCA_2,0.1542,0.6845,0.0587,3.5,321.2
scibert_average_kmeans_5_PCA_3,0.1536,0.7041,0.0628,4.2,334.2
scibert_average_kmeans_3_PCA_3,0.1534,0.69,0.0591,2.7,317.0
scibert_average_kmeans_4_isomap_3,0.1526,0.6966,0.0594,6.1,301.8
scibert_average_agglomerative_3_PCA_3,0.1525,0.6971,0.0614,3.1,315.7
scibert_average_kmeans_3_isomap_3,0.1525,0.7044,0.0616,6.9,284.4
scibert_average_kmeans_5_isomap_7,0.1516,0.6864,0.0577,7.4,303.8
scibert_average_agglomerative_4_isomap_10,0.1512,0.6962,0.0591,4.5,296.7
scibert_average_kmeans_3_PCA_10,0.1511,0.6814,0.0574,3.5,316.0
scibert_average_agglomerative_5_isomap_3,0.1506,0.6969,0.0593,2.8,299.0
scibert_average_agglomerative_5_PCA_2,0.1504,0.701,0.0628,4.7,332.2
scibert_average_agglomerative_3_PCA_5,0.15,0.6851,0.0586,3.6,322.1
scibert_average_agglomerative_7_PCA_2,0.1488,0.7033,0.0633,4.9,335.3
scibert_average_agglomerative_4_PCA_3,0.1486,0.6999,0.0627,3.7,332.2
scibert_average_kmeans_5_isomap_10,0.1484,0.6871,0.058,10.8,297.0
scibert_average_agglomerative_5_isomap_2,0.1484,0.6942,0.0595,6.8,304.2
scibert_average_kmeans_4_PCA_2,0.1483,0.696,0.0625,3.6,327.5
scibert_average_agglomerative_7_isomap_3,0.1483,0.6924,0.0581,3.0,309.7
scibert_average_kmeans_7_isomap_5,0.1482,0.7026,0.061,3.6,317.4
scibert_average_kmeans_3_isomap_5,0.1479,0.703,0.0613,7.0,283.4
scibert_average_kmeans_3_isomap_2,0.1474,0.704,0.0618,6.9,286.4
scibert_average_agglomerative_4_isomap_2,0.1471,0.6968,0.06,6.8,296.7
scibert_average_kmeans_3_isomap_10,0.147,0.7026,0.0614,8.1,284.5
scibert_average_agglomerative_2_isomap_2,0.1461,0.7365,0.068,6.2,277.3
scibert_average_kmeans_5_isomap_3,0.1455,0.6981,0.0595,4.4,299.1
scibert_average_kmeans_4_PCA_3,0.145,0.6938,0.0611,3.5,334.3
scibert_average_kmeans_5_PCA_2,0.145,0.6952,0.0618,4.7,331.9
scibert_average_agglomerative_3_PCA_7,0.1446,0.6865,0.0579,3.7,319.0
scibert_max_articles,0.1444,0.7348,0.071,7.4,304.0
scibert_average_kmeans_4_isomap_10,0.1444,0.7021,0.0606,6.7,295.9
scibert_average_agglomerative_3_isomap_5,0.1439,0.7109,0.0621,7.9,286.3
scibert_average_kmeans_4_isomap_2,0.1436,0.697,0.0599,7.0,295.7
scibert_average_agglomerative_5_isomap_5,0.1435,0.6941,0.0589,3.4,302.2
scibert_average_kmeans_4_isomap_5,0.1435,0.6975,0.0597,9.8,300.5
scibert_average_kmeans_5_PCA_7,0.1425,0.6994,0.0628,4.1,327.8
scibert_average_agglomerative_5_isomap_10,0.1418,0.6916,0.0584,4.3,305.2
scibert_average_kmeans_7_isomap_10,0.1418,0.6979,0.0597,3.4,307.0
scibert_average_kmeans_3_isomap_7,0.1414,0.7044,0.0614,7.9,285.3
scibert_average_kmeans_4_PCA_5,0.1411,0.6793,0.057,3.8,333.4
scibert_average_kmeans_7_isomap_7,0.1408,0.6948,0.0592,3.3,316.0
scibert_average_kmeans_3_PCA_5,0.1406,0.683,0.0581,3.6,315.2
scibert_average_agglomerative_5_PCA_3,0.1406,0.698,0.0623,4.3,337.1
scibert_average_agglomerative_5_isomap_7,0.1404,0.6877,0.0574,3.1,304.1
scibert_average_agglomerative_3_PCA_2,0.1399,0.6853,0.0575,3.5,326.2
scibert_average_agglomerative_2_PCA_5,0.1399,0.6959,0.0591,6.7,297.8
scibert_average_agglomerative_4_isomap_7,0.1398,0.6869,0.0577,4.9,298.1
scibert_average_agglomerative_3_isomap_3,0.1397,0.7057,0.0617,7.9,285.4
scibert_average_kmeans_5_isomap_2,0.1395,0.6999,0.06,8.4,307.1
scibert_average_agglomerative_3_isomap_7,0.1389,0.7062,0.0619,7.8,278.6
